Hourly measurement data supplied by UK-air on 06/12/2021
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,,"London Marylebone Road",,,,,,"London N. Kensington",,,,,,"London Westminster",,,
Date,Time,"Ozone",Status,"Nitrogen dioxide",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Ozone",Status,"Nitrogen dioxide",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Nitrogen dioxide",Status,"PM2.5 particulate matter (Hourly measured)",Status
2021-01-01,01:00:00,28.53851,V ugm-3,20.99867,V ugm-3,18.6,V ugm-3 (TEOM FDMS),28.53851,V ugm-3,21.65101,V ugm-3,30.448,V ugm-3 (Ref.eq),24.8457,V ugm-3,20,V ugm-3 (BAM)
2021-01-01,02:00:00,22.15227,V ugm-3,26.71965,V ugm-3,40.3,V ugm-3 (TEOM FDMS),14.90123,V ugm-3,30.42826,V ugm-3,55.802,V ugm-3 (Ref.eq),20.14728,V ugm-3,26,V ugm-3 (BAM)
2021-01-01,03:00:00,31.03314,V ugm-3,21.01699,V ugm-3,23.9,V ugm-3 (TEOM FDMS),31.63185,V ugm-3,19.81852,V ugm-3,28.278,V ugm-3 (Ref.eq),22.26946,V ugm-3,24,V ugm-3 (BAM)
2021-01-01,04:00:00,26.04389,V ugm-3,26.59591,V ugm-3,18.1,V ugm-3 (TEOM FDMS),28.98754,V ugm-3,19.37004,V ugm-3,15.613,V ugm-3 (Ref.eq),17.83676,V ugm-3,15,V ugm-3 (BAM)
2021-01-01,05:00:00,18.62653,V ugm-3,27.38453,V ugm-3,21.7,V ugm-3 (TEOM FDMS),21.80302,V ugm-3,20.72844,V ugm-3,19.764,V ugm-3 (Ref.eq),26.01874,V ugm-3,21,V ugm-3 (BAM)
2021-01-01,06:00:00,17.46238,V ugm-3,23.7544,V ugm-3,22.2,V ugm-3 (TEOM FDMS),26.54281,V ugm-3,16.6376,V ugm-3,17.618,V ugm-3 (Ref.eq),25.50805,V ugm-3,22,V ugm-3 (BAM)
2021-01-01,07:00:00,18.56001,V ugm-3,24.15303,V ugm-3,15,V ugm-3 (TEOM FDMS),24.84647,V ugm-3,16.94716,V ugm-3,15.189,V ugm-3 (Ref.eq),27.84591,V ugm-3,18,V ugm-3 (BAM)
2021-01-01,08:00:00,15.317,V ugm-3,28.08053,V ugm-3,18.1,V ugm-3 (TEOM FDMS),24.84647,V ugm-3,18.5106,V ugm-3,15.024,V ugm-3 (Ref.eq),32.55692,V ugm-3,15,V ugm-3 (BAM)
2021-01-01,09:00:00,15.86582,V ugm-3,29.03062,V ugm-3,18.3,V ugm-3 (TEOM FDMS),23.84862,V ugm-3,20.63106,V ugm-3,15.896,V ugm-3 (Ref.eq),30.16807,V ugm-3,14,V ugm-3 (BAM)
2021-01-01,10:00:00,14.10295,V ugm-3,34.71777,V ugm-3,25,V ugm-3 (TEOM FDMS),23.89851,V ugm-3,21.27117,V ugm-3,18.066,V ugm-3 (Ref.eq),31.42084,V ugm-3,21,V ugm-3 (BAM)
2021-01-01,11:00:00,15.03427,V ugm-3,36.02664,V ugm-3,24.9,V ugm-3 (TEOM FDMS),25.19571,V ugm-3,18.69776,V ugm-3,20.165,V ugm-3 (Ref.eq),28.35412,V ugm-3,21,V ugm-3 (BAM)
2021-01-01,12:00:00,9.44631,V ugm-3,37.11468,V ugm-3,28.6,V ugm-3 (TEOM FDMS),19.80732,V ugm-3,22.11005,V ugm-3,24.481,V ugm-3 (Ref.eq),32.96031,V ugm-3,29,V ugm-3 (BAM)
2021-01-01,13:00:00,7.65018,V ugm-3,36.63842,V ugm-3,31.3,V ugm-3 (TEOM FDMS),13.07184,V ugm-3,23.94104,V ugm-3,26.958,V ugm-3 (Ref.eq),34.7287,V ugm-3,29,V ugm-3 (BAM)
2021-01-01,14:00:00,4.05792,V ugm-3,40.15931,V ugm-3,32.1,V ugm-3 (TEOM FDMS),7.83312,V ugm-3,29.06284,V ugm-3,28.396,V ugm-3 (Ref.eq),37.68688,V ugm-3,32,V ugm-3 (BAM)
2021-01-01,15:00:00,2.46136,V ugm-3,39.55836,V ugm-3,31.1,V ugm-3 (TEOM FDMS),6.98495,V ugm-3,28.87747,V ugm-3,27.948,V ugm-3 (Ref.eq),41.27973,V ugm-3,32,V ugm-3 (BAM)
2021-01-01,16:00:00,1.72961,V ugm-3,38.07461,V ugm-3,28.8,V ugm-3 (TEOM FDMS),3.44258,V ugm-3,32.1794,V ugm-3,24.505,V ugm-3 (Ref.eq),44.24978,V ugm-3,36,V ugm-3 (BAM)
